address,advantage,city,company_name,education,industry,industryLables,label,position_detail,position_name,salary,size,stage,work_year
"'科华北路', '桂溪', '四川大学'",工作氛围好,成都,达疆网络科技（上海）有限公司,本科,O2O,,"'年底双薪', '绩效奖金', '岗位晋升', '定期体检'","职位描述：工作职责：?1、负责新零售业务的数据分析工作，挖掘数据分析需求，制定并实施分析方案，并根据数据分析结果为业务的改进提出合理化建议；?2、通过专题分析，对业务问题进行深入分析，为产品改进、运营决策、营销推广策略提供数据支持，推动业务部门数据驱动业务决策的转化3、通过对公司运营数据研究，提出改善运营质量的方法和建议，搭建BI数据分析体系，为公司决策提供支持。任职资格：?1、统计、数学、信息技术相关专业本科以上学历，互联网2年以上数据分析/挖掘相关经验；2、熟练独立编写商业数据分析报告，及时发现和分析其中隐含的变化和问题；?3、良好的数据敏感度，能从海量数据提炼核心结果；有丰富的数据分析、挖掘、清洗和建模的经验；?4、思维敏捷，具有发散性，能够举一反三，良好的逻辑分析能力及问题解决能力5、良好的跨团队、部门沟通及推动能力，有强烈的主人翁意识，积极发扬团队合作精神6、 熟练掌握SQL7、熟悉或使用过至少一种统计分析/数据挖掘软件（R,?Python等）者优先8、有大数据处理经验，如Hive/Spark/Hadoop等使用经验者优先",数据分析师,15000,2000人以上,D轮及以上,1-3年
'未知',"六险二金,晋升通道,独当一面,话语权",北京,贝壳找房（北京）科技有限公司,本科,"移动互联网,O2O","'大数据', '商业'","'股票期权', '带薪年假', '绩效奖金', '扁平管理'",职位描述：工作职责:方向一、经营分析/指标体系1. 参与公司核心策略的数据分析，基于策略逻辑，建立相关统计模型优化线上策略； 2. 关注业务数据，监测业务发展态势，预警和解读业务异常，跟进业务决策全流程；3. 搭建从数据仓库建设，到数据指标体系，数据可视化展现的完整数据体系4. 能推进实施从模型构建到报告撰写部门沟通落地的数据解决方案，解决复杂的商业问题 方向二、业务策略数据分析1. 根据平台发展战略，从业务逻辑出发，分析、制定运营策略、经营规划、业绩目标等2. 跟踪分析策略的执行情况，挖掘业务痛点，提供数据分析支持3. 建立指标体系，赋能业务部门，以数据驱动业务决策4. 与产品、技术团队沟通对接，以策略分析中的成功用例为核心，推动产品系统开发方向三、内容平台数据分析1. 建立数据监控体系和BI看板，监测各数据趋势，快速发现数据异常，分析定位问题，提出解决方案；2. 通过数据，提供促进流程优化、产品改进等方案；3. 建立内容产品数据体系，全面分析在内容产品前中后用户行为分析模型4. 建立消费用户画像，为产品在内容方向上做出指导性建议；5. 负责制定全国各城市内容团队的数据考核体系及优化。任职资格:1. 统招本科，5年以上知名公司经验，对数据敏感，逻辑严谨，责任心强，工作主动自驱，沟通能力强2. 善于观察和学习，具备优秀的逻辑思维能力、表达能力、沟通协调能力3. 熟练使用sql、python、R等,数据分析师,32500,2000人以上,C轮,5-10年
"'中关村', '万泉河', '苏州街'",五险一金,北京,杭州财米科技有限公司,不限,"移动互联网,金融",,"'年底多薪', '岗位晋升', '定期体检', '五险一金'",职位描述：职位描述：1、收集、处理用户海量数据，挖掘用户行为特征，为产品、运营提供参考依据；2、针对具体业务问题，主动发现问题，并通过数据分析验证并提出改善举措； 任职要求：1、本科以上学历，经济学、统计学、计算机等和数据处理高度相关专业，2年及以上互联网公司数据分析工作经验；2、有突出的分析能力，能够灵活利用数据，发现问题并提出解决方案；3、主动性强，以改善产品为乐，把提升数据指标当成有成就感的事；4、熟悉Hive，熟练使用SQL等数据库查询语言；熟练使用Python者优先。,数据分析师,12500,500-2000人,C轮,1-3年
"'琶洲', '官洲'","六险一金,周末双休,营养工作餐,萌宠陪伴",广州,广州微咔世纪信息科技有限公司,大专,"移动互联网,社交网络","'移动互联网', '社交', '数据运营'","'六险一金', '周末双休', '营养工作餐', '暖心下午茶'","职位描述：职位描述：1.负责对业务的专题进行统计分析，形成专题分析报告；2.基于业务理解，设计搭建准确反映业务运作健康状况的数据分析报表；3.分析用户行为，为产品、运营以及管理层提供商业策略分析和业务优化建议，持续改进运营效果；4.完成上级安排的数据整理分析等相关任务；岗位要求：1.数学与应用数学、统计学等专业毕业，1年以上数据分析工作经验,有相关经验者可适当放宽该要求；2.良好的数据处理能力，熟练操作Excel、PPT等，掌握SQL相关数据提取方法或者常用数据分析工具者优先；3.协调沟通能力较好，具有较强的分析与判断能力，工作责任感高，条理清晰，工作细致，具有较好的职业操守。4.移动互联网从业背景优先，有APP运营推广、APP市场投放分析经验者优先。关于公司福利：员工福利：周末双休、六险一金、十三薪；零食工作餐：营养工作餐、零食饮料畅享；公司环境：地铁上盖、一线江景写字楼、萌宠陪伴、鲜肉仙女满地跑;节假日福利：生日节庆贴心礼物、开门红包；灵活休假：弹性工作制、带薪休假、病假；多彩团建：年度旅游、部门活动基金、生日会、下午茶等high起来;劳逸结合：各种运动俱乐部（篮球、羽毛球等）、狼人杀、王者农药，我们的青春，我们做主。",数据分析师,11500,50-150人,A轮,1-3年
"'中关村', '北京大学', '颐和园'",爱奇艺,北京,北京奇艺世纪科技有限公司,本科,"广告营销,文化娱乐","'大数据', 'SPSS'","'绩效奖金', '五险一金', '交通补助', '带薪年假'",职位描述：岗位职责： 1、负责内容合作部产品及运营数据指标的搭建； 2、负责数据后台的完善与优化，确保数据质量； 3、监控业务数据，从数据变化中发现问题，输出有价值的分析报告，为产品和运营决策提供支持； 4、行业数据、信息等业务部门所需资料的支持； ?? 任职要求：? 1、2年以上工作经验，数学、统计、计算机等相关专业，有互联网相关数据分析工作经历； 2、熟练掌握至少一种数据分析工具，深入了解数据分析方法； 3、学习能力强，能快速掌握所负责业务领域数据，并利用数据进行评估优化； 4、善于沟通，执行能力强，有团队合作精神，勇于担当，抗压性强。,数据分析师,10000,2000人以上,上市公司,1-3年
'未知',"平均16薪,独角兽企业,日活千万",上海,上海基分文化传播有限公司,本科,移动互联网,"'大数据', '数据挖掘'","'专项奖金', '带薪年假', '弹性工作', '管理规范'","职位描述：岗位职责： 1?与业务方沟通相关需求，并独立承担基础数据处理、报表开发、数据调研分析等数据工作； 2?进行商业数据分析、理顺业务数据链路和指标框架、发展期的业务数据分析等，深入专题分析，为公司互联网业务的运营决策?提供数据支持； 3?对日常运营数据监控和分析，?数据清洗与处理，数据报表的维护和搭建；  岗位要求： 1?本科或硕士以上学历，计算机、统计、数学相关专业 2?熟悉SQL/数据库/hive，精通R/python进行数据分析 3?了解Tableau等BI工具 4?有较好的团队精神、沟通能力，工作细致认真 5?相关工作经验4年以上,?了解互联网业务数据?或在互联网公司工作过优先",数据分析师,30000,500-2000人,上市公司,5-10年
"'后海', '深圳湾', '科技园', '后海', '后海', '深圳湾', '深圳湾', '科技园', '科技园'",核心事业群 千万级日活 氛围好 组织扁平,深圳,OPPO广东移动通信有限公司,本科,移动互联网,"'大数据', '数据挖掘'","'丰厚年终', '扁平管理', '追求极致', '本分'",职位描述：工作职责：?1、负责数据中心与产品团队的业务对接，为业务提供指标分析、报表ETL作业开发、数据提取等服务；2、负责指定业务的数据仓库设计、开发；3、引导业务正确地解读和使用标签数据，按需求输出数据分析报告；?任职要求：?1、计算机、数学等相关专业本科以上学历；?2、具有互联网应用相关工作经验，熟悉互联网行业常见的分析指标，互联网行业背景优先;?3、掌握一定的数据分析/挖掘方法，熟悉数据仓库，熟练使用SQL;?4、逻辑思维严谨，对数据具有敏感度，善于总结和分类;5、责任心强，有良好的跨业务沟通能力和团队协作能力;,数据分析师,22500,2000人以上,不需要融资,1-3年
"'长阳路', '周家嘴路', '平凉路'","技术大牛,私厨三餐",上海,上海流利说信息技术有限公司,本科,"移动互联网,教育","'大数据', '数据挖掘'","'弹性工作', '五险一金', '年度旅游', '年底双薪'",职位描述：岗位职责：通过指标的设计、计算、监控和评估，支持产品决策；对数据仓库的数据质量保持敏感，并进行分析、监控，发现潜在的问题；支持运营部门的运营活动数据分析；深入分析用户的行为路径等相关问题，发现 insights，通过报告提出建议。任职条件：一年以上相关工作经验；计算机、统计、数学或工程类相关专业本科及以上学历；了解互联网的数据运营与产品决策过程，了解指标的设计和计算；有 SQL 查询经验；了解 WEB/APP 埋点，有漏斗、行为路径分析经验；了解 GA/Umeng/Growing IO 等第三方工具原理；结果导向；能独立承担复杂的分析项目，提供有价值的结论和可执行的建议。,数据分析师,25000,500-2000人,C轮,1-3年
"'古荡', '文一路', '文三路', '古荡', '古荡', '文一路', '文一路', '文三路', '文三路'",股票期权；年终奖金；弹性工作,杭州,杭州铜板街互联网金融信息服务有限公司,本科,移动互联网,'金融',"'创新开放', '团队牛X', '全员期权', '高速成长'",职位描述：工作职责：1、独立专题分析报告；2、业务日报、月报；3、基于用户交易、行为日志的相关业务分析。任职资格：1、本科3年以上，硕士2年以上；数学、统计学相关专业；2、可熟练使用SQL语句，会R或者python为加分项；3、逻辑思维能力，统计学应用能力，能独立撰写分析报告；4、有互联网金融领域分析经验者优先。,数据分析师,22500,150-500人,B轮,3-5年
'张江',"发展空间大,平台好,福利佳",上海,交通银行股份有限公司太平洋信用卡中心,本科,金融,,"'绩效奖金', '交通补助', '午餐补助', '定期体检'",职位描述：岗位职责1、? 参与建设商户运营监控系统并运营;2、? 协助搭建商户数据集市，提供日常报表等数据支持服务;3、? 制定并执行商户管理各环节的监控规则与模型。?招聘要求1、有收单业务相关工作经验或数据分析工作经验者优先考虑；2、有较强的综合分析及组织推动能力，熟悉Tableau等分析工具者优先考虑；3、有责任心，具有较强的沟通、协调能力及公关能力；4、具备扎实的文字功底和公文写作能力；5、大学本科，2年及以上相关工作经验。,数据分析师,9000,2000人以上,上市公司,3-5年
