address,advantage,city,company_name,education,industry,industryLables,label,position_detail,position_name,salary,size,stage,work_year
"['上地', '马连洼', '西二旗']","15薪,大平台,三餐免费,健身房",北京,贝壳找房（北京）科技有限公司,本科,"移动互联网,O2O",[],"['股票期权', '带薪年假', '绩效奖金', '扁平管理']","
职位描述：
工作职责:1.链家网搜索算法架构设计与研发 2.搜索Ranking研究，关注排序效果CTR和转化效果CVR任职资格:1.计算机相关专业统招本科以上学历，2年以上相关工作经验；2.有较强的算法基础和Java\Python\C++编码能力。3.熟悉linux环境，熟悉shell编程；4.具有统计或数据挖掘背景，并对机器学习算法和理论有较深入的研究 ? ? ? ? ?5.在机器学习或数据挖掘方向有较强的积累，熟悉经典的算法并有实践经验，包括LTR、LR、FTRL、SVM、GBDT、Reinforcement Learning、Deep Learning ?6.深入理解全文搜索，熟悉倒排索引、中文分词、排序、Query分析等相关技术；7.熟悉lucene/solr/elastic search至少其中1项，并有深入理解8.有大规模数据挖掘经验者优先
",机器学习,30k-60k,2000人以上,C轮,1-3年
"['北京大学', '中关村', '知春路']",核心研发团队，大牛多,北京,北京旷视科技有限公司,本科,"移动互联网,硬件",[],"['科技大牛公司', '自助三餐', '年终多薪', '超长带薪假期']","
职位描述：
工作职责：
1. 维护并优化公司内部的深度学习训练系统；
2. 异构平台上的神经网络性能优化。
任职资格：
1. 熟练掌握 C++；
2. 掌握算法与数据结构；
3. 了解计算机体系结构；
4. 有过 CUDA/arm/x86 相关代码优化经验者优先；
5. 了解深度学习相关知识者优先；
6. 了解 Caffe/TensorFlow/MXNet/Torch/Theano 等训练框架者优先。
PS：核心团队招聘，两年以上工作经验即可，欢迎技术大佬!
",深度学习系统工程师,25k-50k,500-2000人,C轮,3-5年
,大平台，给力薪酬,深圳,OPPO广东移动通信有限公司,本科,移动互联网,[],"['丰厚年终', '扁平管理', '追求极致', '本分']","
职位描述：
岗位职责：
1、机器学习数据处理，算法实现和部署；??2、机器学习平台建设与维护，网络模型训练；??3、探索AI在Android系统上产品化落地。
岗位要求：
1、从事计算机视觉，图像处理，自然语言处理，数学等相关工作和3年以上相关领域开发经验；??2、具备机器学习知识背景，熟悉深度学习神经网络：DNN,?CNN,?RNN,?LSTM,?GRU等；??3、对常用的深度学习开源框架Tensorflow,?Caffe等有项目实战经验；?4、精通Python、Java、C++等一种以上程序语言，具有较强的编码能力；?5、熟悉Linux开发环境，对Android系统开发和架构有一定理解者优先；?6、在公开测试集取得优异效果或在NIPS/CVPR等顶级会议发表论文或有深度学习的产品研究经验者优先。
",深度学习开发工程师,20k-35k,2000人以上,不需要融资,3-5年
,"股权激励,核心部门,五险一金,弹性工时",上海,上海云拿智能科技有限公司,本科,移动互联网,[],"['弹性工作', '五险一金', '股票期权']","
职位描述：
1.物体检测与识别，相关特征的提取和转换 、模型开发
2.根据场景优化算法性能
?
职位描述：
1. 本科以上学历，数学、计算机、模式识别，机器视觉，图像检测相关专业；
2. 有1年以上TensorFlow、Caffe、Theano、Torch中任一种深度学习框架使用经验
3. 熟练掌握C/C++和Python
4. 具备人脸识别、目标检测、跟踪和识别、图像处理等技术研发能力；
5. 能够熟练运用计算机视觉、模式识别的常用算法，如果具有图像分类、图像语义理解、图像自动标注，图像检索等项目开发经验的优先；
6. 良好的团队合作精神；
",深度学习,20k-40k,50-150人,A轮,1-3年
,"?技术大牛,自动驾驶,高速发展,高薪高福利",深圳,深圳星行科技有限公司,硕士,"硬件,移动互联网",[],"['硅谷文化', '技术大牛', '高薪高福利', '股票期权']","
职位描述：
岗位要求
1. ?熟悉机器学习的基本方法?(?降维、分类、回归、排序等等?)
2. ?熟悉深度学习原理和基本模型，熟练使用?Caffe?，Tensorflow 或其他常用深度学习工具，并能够灵活的解决实际问题
