address,advantage,city,company_name,education,industry,industryLables,label,position_detail,position_name,salary,size,stage,work_year
"['上地', '马连洼', '西二旗']","扁平管理,六险二金,免费三餐,弹性工作",北京,贝壳找房（北京）科技有限公司,本科,"移动互联网,O2O",[],"['股票期权', '带薪年假', '绩效奖金', '扁平管理']","
职位描述：
工作职责:1、负责风控策略及模型的研究与探索； 2、基于用户行为、LBS、用户关系、交易数据等大数据分析，挖掘作弊行为，建立精准打击策略及模型，运用各类分析方法对业务、日志数据进行分析与抽象，制定有效的的识别策略和算法； 3、建立完善的异常指标监控体系，快速发现及定位疑似作弊问题； 4、完成各类策略实现，并持续完善与优化； 任职资格:1、 ?熟练使用至少一门编程语言（Python、Java等）； 2、熟悉机器学习、数据挖掘、数据分析、分布式计算至少某一方面，有一定的理论研究和实践经验 ； 3、对数据敏感，熟悉常用数据挖掘算法，并有一定实践经验；  4. ?具有大数据处理经验，熟悉Hadoop, Hive, Spark等大数据处理平台4、有反作弊策略相关经验、用户行为分析、社群关系挖掘经验者尤佳。
",数据挖掘,25k-50k,2000人以上,C轮,3-5年
,"弹性工作,绩效奖金,项目分红",上海,上海基分文化传播有限公司,本科,移动互联网,"['移动互联网', '数据架构', '数据分析']","['专项奖金', '带薪年假', '弹性工作', '管理规范']","
职位描述：
1、对部门日志数据进行清理、整合；?
2、对各种数据进行分析有洞察力的分析；?
3、针对既定商业目标进行建模；?
4、协助大数据工程师进行产品化。
任职资格
1、数据分析工作经验3年及以上，有丰富数据建模经验，包括分类、推荐、预测、文本分类等；?
2、有数据ETL实现能力及较强的coding能力，掌握R或是Python（统计包）等统计工具，熟练掌握SQL，熟悉linux/shell基本功能；?
3、有hive使用经验优先，有技术BI、大数据相关工作经验优先，对spark mllib 有了解优先；?
4、具备良好的数据和商业敏感度、优秀的逻辑思维能力，乐于从纷繁的数据中寻找业务规律，较好的商业洞察力。
",数据挖掘,20k-40k,500-2000人,上市公司,3-5年
,海量视频数据和用户交互数据,北京,北京奇艺世纪科技有限公司,硕士,"广告营销,文化娱乐",[],"['绩效奖金', '五险一金', '交通补助', '带薪年假']","
职位描述：
工作内容：
1. query理解，query的自动标注、分类；
2. 海量视频内容挖掘，发现优质内容；
3. 相关搜索词挖掘，搜索词推荐；
职位要求：
1. 计算机相关专业本科以上学历；?
2. 扎实的编码能力，具备良好的分析问题、解决问题的能力；
3. 有自然语音处理、机器学习相关背景优先；
",数据挖掘,20k-35k,2000人以上,上市公司,不限
['朝外'],靠谱团队,北京,高德软件有限公司,本科,移动互联网,[],"['弹性工作', '帅哥多', '美女多', '五险一金']","
职位描述：
职位描述
??能够熟练使用ODPS、Hadoop实现大数据挖掘和统计工作；
??能够基于地图积累的大数据，为了业务目标，完成数据清洗、样本去噪、特征选取分析、模型建立和预估实现等整个流程；
??对地图和导航具有一定的看法，能够从问题中提取优化点和工作内容，配合部门目标高效开展工作；
??使用阿里大数据平台和算法工具完成模型的工程化，并与业务部门沟通合作，将数据模型应用于实际业务；
职位要求
??数据挖掘理论基础，包括回归、决策树、SVM、朴素贝叶斯、神经网络、k-means、PLSA\LDA\HMM等常用算法的适用场景、优点、缺点以及弥补办法
??具有包含上述2种以上的模型算法的项目实践经验
??熟练掌握Hive\SQL，开展项目工作
??JAVA\C++\python?至少熟练掌握一种编程语言
??数据掘项目经验丰富，在挖掘模型应用上有成功案例，对数据挖掘方法论有深刻理解，能深入分析、定位业务问题，利用挖掘模型解决
??熟悉Hadoop、Hive、流式计算、实时计算等大数据相关技术者优先
??具有统计理论知识者优先
",数据挖掘,20K-40K,2000人以上,上市公司,3-5年
"['西二旗', '西北旺', '上地']",七险一金、免费三餐、住房补贴、年终奖,北京,小船出海教育科技（北京）有限公司,本科,"移动互联网,教育",[],"['股票期权', '免费三餐', '打车报销', '14薪']","
职位描述：
工作职责：
1.?业务的数据挖掘需求，用户行为日志挖掘、用户分析和智能推荐算法
2.?用户评测，用户兴趣点挖掘、用户能力建模?和?薄弱项分析，推荐合理的学习内容；
3.?用机器学习对各项服务进行质量分类，提升整体服务质量
任职资格：
1.?至少熟练掌握一门编程语言，对数据结构和算法设计有较为深刻的理解，动手能力强
2.?有机器学习/数据挖掘相关背景者优先，或者算法能力强
3.具有良好的数据分析和解决实际问题的能力，较强的创新能力，对解决挑战性问题充满热情
4.具备良好的时间和流程意识，能够针对需求和目标给出合理的解决方案及排期
",数据挖掘/算法工程师,20K-40K,2000人以上,C轮,1-3年
"['七浦路', '海宁路', '四川北路']","上市公司,福利好,扁平化",上海,众安在线财产保险股份有限公司,本科,金融,"['社交', '大数据', '算法', '数据分析']","['定期体检', '每天下午茶', '六险一金', '年度体检']","
职位描述：
岗位职责：
1. 负责海量数据的分析处理，结合公司业务需求和行业趋势，探索与研究有效的数据模型；
2. 通过聚类分析、图挖掘与社交网络分析等方法，进行贷前反欺诈, 智能催收等功能实现；
3. 基于信贷审批数据和征信数据源，应用逻辑回归、随机森林、XGBoost等机器学习算法建立风险预测模型，帮助金融机构构建基于大数据的信用风控模型；
4. 通过金融数据库或爬虫获取互联网上特定信息，并利用自然语言处理技术进行解析，建立机器学习模型，分析特定领域、行业或主体的风险指数。
任职标准：
1. 硕士及以上学历，一年及以上互联网行业数据挖掘、算法相关工作经验者优先；
2. 对机器学习和大数据行业充满兴趣，愿意不断学习新的知识；
3. 精通数据挖掘算法及其原理，对常见分类聚类算法—LR、GBDT、XGBoost、GMM、DBSCAN等有很好的理解；
4. 熟悉机器学习算法模型的构建流程；
5. 熟练使用Python、SQL，有使用Sklearn、Pandas等常见python包的经验； 对大数据平台Spark，Hadoop有一定的了解；
6. 具有良好的逻辑分析能力、沟通能力和文字表达能力，良好的执行力；
7. 能够积极创新， 乐于面对挑战，负责敬业,优秀的团队合作精神；诚实， 勤奋， 严谨；
8. 较好的数学或统计学教育背景优先。
",数据挖掘工程师,15k-25k,2000人以上,上市公司,1-3年
,海量数据，亿级用户，技术大牛,北京,北京蚂蜂窝网络科技有限公司,本科,"移动互联网,旅游",[],"['弹性工作', '扁平管理', '氛围好', '年度体检']","
职位描述：
岗位职责:1、负责马蜂窝数据挖掘核心技术研究和开发2、基于马蜂窝海量数据，构建用户，目的地，机票酒店等多方面画像以及知识图谱
任职资格:1、本科及以上学历，计算机、数学等相关专业，985院校毕业生优先考虑2、对常用的机器学习算法，特征选择方法，数据建模过程有深入理解3、熟悉常用数据挖掘算法(如分类，聚类，回归，关联规则，神经网络等)及其原理，并具备相关项目经验 4、有hadoop，spark，storm等大数据工具使用经验5、有画像、广告、推荐，搜索等算法方向实际工作经验优先
",数据挖掘工程师,20k-30k,500-2000人,D轮及以上,1-3年
,"上市集团,人杰地灵,专业团队,成长空间",上海,悠融资产管理（上海）有限公司,本科,"移动互联网,金融",[],"['带薪年假', '绩效奖金', '定期体检', '节日礼物']","
职位描述：
职责：?1、 基于数据驱动构建企业数据模型EDW以及面向应用产品与分析的应用层模型设计开发； 2、 参与数据平台的数据研发，发掘数据商业价值，打造极致体验的数据平台； 3、 负责构建基于数据仓库和数据集市的架构设计与优化；?4、 对海量数据处理的业务需求进行评估和方案设计；?5、 对慢查询进行诊断，并给出优化方向； 6、 了解行业前沿的大数据处理方法和框架。 职位要求：?1、本科以上学历，3年（含）以上数据设计，开发经验，熟悉数据仓库模型设计与ETL开发 ，掌握维度建模设计方法； 2、 精通至少一种数据库（informix, mysql, db2, 等），熟练使用SQL语言，精通SQL语句的性能调优；3、 精通Linux系统管理，熟练使用shell、perl、python等至少一门脚本语言； 4、有责任心和良好的团队合作意识，能承受压力。 
",数据挖掘,15k-30k,500-2000人,不需要融资,3-5年
"['团结湖', '三里屯', '工体']","技术大牛多,十四薪,弹性工作,午餐晚餐",北京,北京瓴岳信息技术有限公司,硕士,"移动互联网,金融",[],"['14薪', '弹性工作', '零食水果', '午餐晚餐']","
职位描述：
我们期望：
?1. 985院校计算机相关专业本科以上学历；
?2. 熟悉Java/Python等编程语言，对数据结构和算法设计有较为深刻的理解；
?3. 良好的逻辑思维能力，能够从海量数据中发现有价值的规律；
?4. 优秀的分析和解决问题的能力，对挑战性问题充满激情；
?5. 良好的团队合作精神，较强的沟通能力和学习能力；
?6. 有数据挖掘、机器学习、推荐系统相关经验优先；
?7. 有互联网金融工作经验优先。
?
?工作内容：
?1. 风控数据平台建设，包括数据交互、特征提取、数据挖掘、用户画像等；
?2. 风控模型的开发与优化；
?3. 风控数据和模型监控系统建设。
",数据挖掘,15k-30k,150-500人,不需要融资,1-3年
"['林和', '天河北']","人工智能,数据挖掘,上市公司,资源丰富",广州,广州市银兴计算机服务有限公司,本科,其他,"['大数据', '物流', '机器学习', '人工智能']",[],"
职位描述：
岗位描述：
1.?负责金融，保险，零售，物流等领域的AI项目分析建模工作，挖据数据中的核心商业价值，解决客户业务中的问题；
2.?与客户沟通，了解业务逻辑及数据收集情况， 了解及构造最关键的因素与特征
3.?设计模型方案，与客户沟通并完成模型建造及优化
4、参与项目的落地开发，与开发团队合作完成模型应用和模型优化。
?
任职要求：
1.?计算机、数据、统计学，工程学等相关专业，熟练应用至少一种数据分析工具 Python/R/SQL。
2.?很强的学习能力和动手能力；
3.?思维敏捷，良好的逻辑分析能力、良好的沟通及组织能力；
4.?乐于解决具有挑战性的问题。
5.?有建模经验，尤其是机器学习建模经验者优先
6.?精通一门编程语言，熟练使用常用算法和数据结构，对算法有较强的实现能力；
7.?有机器学习、数据挖掘、信息检索等相关领域的理论背景，有研究或应用相关的工作经验；
",数据挖掘工程师,20k-40k,50-150人,上市公司,3-5年
['张江'],"平台大,福利好,技术牛人多",上海,上海阅文信息技术有限公司,本科,移动互联网,['大数据'],"['年终分红', '年底双薪', '五险一金', '交通补助']","
职位描述：
职位概述：1）针对公司业务数据进行分析研究，挖掘数据的潜在信息，撰写数据分析报告；2）数据结合业务，针对重点业务模块开展深入的专题分析，为公司业务侧产品部门提供数据分析支持；3）持续跟踪和分析业务数据，阶段性的数据监测、解读、预警及建议成果输出；任职资格：1) 7年以上工作经验；2) 4年以上基于Hadoop架构开发经验，有Spark经验更佳；
3) Java语言开发能力；4) 熟悉Shell/Python编程；5) 熟悉Mysql数据库优先；6) 有数据分析和数据挖掘项目经验优先；7) 对数据敏感，热爱数据分析和挖掘；8) 良好的沟通合作意识和能力；9) 计算机相关专业，本科以上学历；
",数据挖掘专家,25k-40k,500-2000人,上市公司,5-10年
"['朝阳公园', '石佛营', '甜水园']","六险一金,带薪年假",北京,乐视网信息技术（北京）股份有限公司,本科,移动互联网,[],"['股票期权', '交通补助', '通讯津贴', '带薪年假']","
职位描述：
职位描述：
（薪酬请以面试通过后信息为准）
工作职责：1.负责使用自然语言和机器学习技术，分析文本信息和系统日志；2.利用NLP技术解决相关技术问题，如搜索个性化、用户画像等； 3.追踪算法前沿技术，结合业务需求，探索将前沿的算法技术应用于实际业务中。任职资格：1.扎实的算法基础，熟悉机器学习算法相关理论，具备良好的数学基础；2.熟悉自然语言处理相关领域的知识与技能，熟悉常见的NLP领域算法；3.熟悉Python，C++，Java等一种或一种以上编程语言；4.熟悉Hadoop和Spark等；5.较好的主动性，良好的沟通和协作能力；
",数据挖掘工程师,15k-30k,2000人以上,上市公司,3-5年
"['东新路', '大关', '上塘']","菜鸟生态,技术驱动",杭州,点我达网络科技有限公司,硕士,O2O,[],"['扁平管理', '弹性工作', '软妹子集中营', '股票期权']","
职位描述：
岗位职责：
1.针对业务部门遇到的实际问题，提供数据分析支持，提出解决方案，为业务赋能；?
2.针对派单过程和效果数据进行分析，发现问题，提出改善方案，并推动落地；
3.骑手画像、反作弊等方面的数据和算法支持；
4.根据业务发展需要，给公司高层完成定期的分析报告和临时的分析需求，提供商业决策支持。
岗位要求：
1.计算机、数学相关专业硕以上学历，五年以上工作经验，有带团队经验者优先；
2.熟悉常用的数据挖掘算法，对数据敏感，有一定的抽象建模能力；
3.了解大数据架构，能利用常用工具开展工作；
4.有产品、运营、用户相关业务分析经验，能独立完成数据分析报告；
5.优秀的业务理解能力和沟通能力，能跨部门合作。
",数据挖掘专家/leader,30k-50k,500-2000人,D轮及以上,3-5年
"['东大桥', 'CBD', '建外大街']","薪酬福利好,帅哥美女多,技术驱动,学习机会多",北京,北京欧应信息技术有限公司,硕士,"移动互联网,医疗健康","['大数据', '算法', '数据分析']","['带薪年假', '垂直社区', '绩效奖金', '扁平管理']","
职位描述：
岗位职责：
1、 负责根据公司的大数据平台技术进行面向行业的建设；
2、 开发具有数据分析、数据挖掘能力的创新型产品；
3、 带领团队进行产品开发，指导中级人员开发，解决系统开发、运行中出现的各种问题
岗位要求：
1、大学本科以上，硕士以上学历优先，计算机、应用数学、统计、数据挖掘、人工智能、模式识别等专业方向
2、3年以上互联网数据分析、挖掘工作经验，熟悉Hadoop/MapReduce/storm开发、对hive、hbase等有深入了解；
3、严密的数学思维、突出的分析和归纳能力。
4、对集群有着深刻的了解，能深入了解hadoop集群及其周边常用模块，能搭建和部署hadoop集群；
5、能利用大数据平台实现对数据的分析和处理；
6、负责大数据平台的性能参数调整和优化；
7、熟悉数据结构,熟悉数据挖掘和机器学习算法等常用算法,并对机器学习算法和理论有较深入的研究（如对熟悉决策树、聚类、逻辑回归，序列标注,关联分析、SVM，贝叶斯等数据挖掘算法有较深理解和实践经验）
8、良好的数据敏感度，能从海量数据提炼核心结果
9、能够评估业务对项目计划的影响
10、有调研、分析和计划项目的能力.
",数据挖掘,15k-25k,150-500人,B轮,3-5年
"['西北旺', '马连洼', '上地']","弹性上班,背靠公园,周末双休,五险一金",北京,北京恒昌利通投资管理有限公司,本科,金融,[],"['技能培训', '年底双薪', '带薪年假', '绩效奖金']","
职位描述：
职位描述：
1.熟悉java/python?2.数学或计算机相关专业毕业，精通sklean?。精通常用的机器学习或深度学习算法，如kmeans?逻辑回归?决策树?gbdt?xgboost?神经网络等。熟悉算法推导过程。熟悉数据清洗，特征工程，有线上应用落地经验3.熟悉大数据生态环境，使用过hadoop?spark?hbase?hive?TensorFlow一种或几种的经验4.有机器学习落地应用经验任职资格：1.独立负责过从数据清洗?特征工程?算法选择实现?线上部署?效果评估?算法迭代过程2.有互联网公司用户画像经验者3.精通spark?tensorflow?任意一种4.参与或者主导过互联网金融风控反欺诈催收者
",数据挖掘,20k-40k,2000人以上,不需要融资,5-10年
"['上地', '马连洼', '西二旗']","15薪,大平台,三餐免费,健身房",北京,贝壳找房（北京）科技有限公司,本科,"移动互联网,O2O",[],"['股票期权', '带薪年假', '绩效奖金', '扁平管理']","
职位描述：
工作职责:1. 运?用数据挖掘/机器器学习的理论和方法，建设链家?网房屋估价系统、房源评估系统 2. 从系统应?用的角度，采用合适的计算机算法，解决实际业务问题任职资格:1. 本科及以上学历;2. 计算机基础知识扎实，熟练掌握 Python，C/C++，SHELL 等编程语言3. 熟悉传统机器学习算法，并具备至少1年以上的数据挖掘/机器器学习相关?工作经验:4. 掌握深度学习基本理论知识，并具有相关建模调优经验5. 有互联网、O2O等领域数据挖掘、分析建模相关经验优先，有kaggle等数据挖掘相关竞赛经验者优先6. 具有良好的学习能力、时间和流程意识，工作沟通坦诚直接，不惧挑战，不藏着掖着
",数据挖掘,20k-40k,2000人以上,C轮,1-3年
,"弹性工作,精英团队,福利待遇好,工作氛围",上海,上海基分文化传播有限公司,本科,移动互联网,"['移动互联网', 'IOS测试']","['专项奖金', '带薪年假', '弹性工作', '管理规范']","
职位描述：
岗位职责:1、对部门日志数据进行清理、整合； 2、对各种数据进行分析有洞察力的分析； 3、针对既定商业目标进行建模； 4、协助大数据工程师进行产品化。
任职资格:1、数据分析工作经验3年及以上，有丰富数据建模经验，包括分类、推荐、预测、文本分类等； 2、有数据ETL实现能力及较强的coding能力，掌握R或是Python（统计包）等统计工具，熟练掌握SQL，熟悉linux/shell基本功能； 3、有hive使用经验优先，有技术BI、大数据相关工作经验优先，对spark mllib 有了解优先； 4、具备良好的数据和商业敏感度、优秀的逻辑思维能力，乐于从纷繁的数据中寻找业务规律，较好的商业洞察力。
",数据挖掘工程师,20k-40k,500-2000人,上市公司,3-5年
"['西二旗', '西北旺', '上地']",七险一金；免费三餐；氛围好,北京,小船出海教育科技（北京）有限公司,本科,"移动互联网,教育","['直播', 'Java', 'Python']","['股票期权', '免费三餐', '打车报销', '14薪']","
职位描述：
工作职责：1.针对作业帮直播课业务线的数据挖掘及分析等相关工作任职资格：1. 至少熟练掌握一门编程语言、对数据结构和算法设计有较为深刻的理解，动手能力强2. 了解linux基本开发环境，有python、shell等脚本处理经验更佳3. 熟悉sql基本操作，有hive、hadoop相关经验者优先4. 具有良好的数据分析和解决实际问题的能力，较强的创新能力，对解决挑战性问题充满热情5．计算机相关专业6. 可以至少实习3个月，每周至少3天。可以实习6个月以上者优先""
",数据挖掘/算法实习生,5k-6k,2000人以上,C轮,应届毕业生
"['望京', '来广营', '花家地']",数据赋能,北京,高德软件有限公司,本科,移动互联网,[],"['弹性工作', '帅哥多', '美女多', '五险一金']","
职位描述：
职位描述
1. 高德大数据是阿里巴巴大数据战略重要组成部分，基于高德百PB级海量日志数据，通过数据挖掘建立多维度地理画像和用户画像；
2. 以高德大数据为核心，对具体问题进行分析，构建机器学习模型，参与高德数据产品与应用的数据研发，发掘数据商业价值，结合阿里巴巴经济体各类大数据，为阿里巴巴经济体各项业务进行数据赋能。
任职要求：
1. 本科及以上学历，计算机、数学等相关专业，至少有1年工作经验；
2. 熟悉常用算法和数据结构，熟悉数据挖掘、机器学习；
3. 具备Linux环境研发能力，至少熟悉一门编程语言；
4. 有Hadoop等海量数据研发经验优先
5. 有用户画像、广告、推荐、金融建模等相关经验者优先
",高德-数据挖掘&amp;机器学习算法资深工程师/技术专家,22k-44k,2000人以上,上市公司,1-3年
,"五险一金,带薪年假,餐费补贴,年底双薪",上海,上海连享商务咨询有限公司,本科,"移动互联网,O2O",[],"['股票期权', '岗位晋升', '扁平管理', '领导好']","
职位描述：
岗位职责
海量数据整合分析，数据建模与优化，发现业务中的问题和机会，并能将数据转化为有效的行动建议，推动数据价值落地；
支持业务部门需求，完成部门内交付的数据分析，挖掘潜在数据信息，为市场运营决策提供数据支持；
负责日常业务、用户数据分析（eg：符合营销需求的用户人群、自营销平台及第三方平台的流量预估、用户行为分析、关联分析等），通过数据对用户进行分类整合、深度挖掘；
针对业务部门所需的日常运营分析表报，提供自动化解决方案；
职位要求
数学、统计学、计算机相关专业，信息系统相关背景优先；
1-3年大数据挖掘经验，互联网/快销/电商分析经验优先；
熟悉数据仓库架构，完整的数据采集，清洗，预处理，分析挖掘过程经验；
理解分析结果对业务、用户的影响，基于用户需求快速迭代；
强烈的责任心，工作细致，有条理，能够承担一定的工作压力，能响应临时性数据分析需求，做出逻辑清晰的分析报告；
",数据挖掘师,13k-18k,150-500人,B轮,1-3年
"['上地', '马连洼', '西二旗']",有挑战的工作 丰厚的待遇 优秀的团队,北京,车好多旧机动车经纪(北京)有限公司,本科,O2O,[],"['带薪年假', '弹性工作', '免费班车', '美女多']","
职位描述：
