position_name,city,company_name,salary,education,industry,address,industryLables,label,advantage,size,stage,work_year,position_detail
机器学习,北京,贝壳找房（北京）科技有限公司,30k-60k,本科,"移动互联网,O2O","['上地', '马连洼', '西二旗']",[],"['股票期权', '带薪年假', '绩效奖金', '扁平管理']","15薪,大平台,三餐免费,健身房",2000人以上,C轮,1-3年,"
职位描述：
工作职责:1.链家网搜索算法架构设计与研发2.搜索Ranking研究，关注排序效果CTR和转化效果CVR任职资格:1.计算机相关专业统招本科以上学历，2年以上相关工作经验；2.有较强的算法基础和Java\Python\C++编码能力。3.熟悉linux环境，熟悉shell编程；4.具有统计或数据挖掘背景，并对机器学习算法和理论有较深入的研究?????5.在机器学习或数据挖掘方向有较强的积累，熟悉经典的算法并有实践经验，包括LTR、LR、FTRL、SVM、GBDT、ReinforcementLearning、DeepLearning?6.深入理解全文搜索，熟悉倒排索引、中文分词、排序、Query分析等相关技术；7.熟悉lucene/solr/elasticsearch至少其中1项，并有深入理解8.有大规模数据挖掘经验者优先
"
风控-机器学习,上海,交通银行股份有限公司太平洋信用卡中心,8k-15k,本科,金融,['张江'],[],"['绩效奖金', '交通补助', '午餐补助', '定期体检']","平台好,国企,氛围好,福利好",2000人以上,上市公司,1-3年,"
职位描述：
职位描述：
1、岗位职责：
??1）通过数据分析开发信用卡/消费信贷产品生命周期管理中各环节评分卡模型，包括但不
限于申请评分、行为评分、欺诈评分、催收评分等；
2）落实各类评分卡模型在相关生产系统上的部署实施、测试及监控运行情况；
3）参与开发内评体系建设，主要包括PD、LGD、EAD模型开发、验证及基础数据集市的建设。
2、岗位要求：
1）2-3年风险计量模型开发及实施经验；
2）熟练应用SAS、Python、R等工具进行数据挖掘，并具有数理统计相关知识；
3）熟悉大数据算法（如神经网络、GBDT、AdaBoost、随机森林等）优先录取；
4）熟悉评分卡开发流程和巴塞尔内部评级模型开发、验证、实施及推广应用技能；
5）大学本科及以上学历的统计、数学、金融等专业。
"
头条实验室科学家-机器学习,北京,北京字节跳动科技有限公司,25k-50k,本科,"移动互联网,数据服务",,[],"['扁平管理', '弹性工作', '大厨定制三餐', '就近租房补贴']",六险一金，免费三餐，租房补贴，带薪休假,2000人以上,C轮,1-3年,"
职位描述：
职位职责：
